ExampleID	Class	Start	End	Entity
T1	Protein	429	432	JAK
T2	Protein	521	524	Lck
T3	Protein	528	531	JAK
T4	Protein	606	609	Lck
T5	Protein	663	666	Lck
T6	Protein	718	721	Lck
T7	Protein	739	742	Lck
T8	Protein	948	951	Lck
T9	Protein	1124	1127	Lck
T10	Protein	1206	1211	STAT1
T11	Protein	1311	1315	CD38
T12	Protein	1393	1397	CD38
T13	Protein	1557	1561	CD38
T14	Protein	1684	1688	CD38
T15	Protein	1790	1794	CD38
T16	Protein	1892	1896	CD38
T17	Protein	1942	1970	retinoic acid-alpha receptor
T18	Protein	1972	1981	RAR alpha
T19	Protein	2006	2010	CD38
T20	Protein	2221	2232	RA receptor
T21	Protein	2234	2243	RAR alpha
T22	Protein	2367	2371	CD38
T23	Protein	2386	2390	CD38
T24	Protein	2475	2483	RAR beta
T25	Protein	2485	2494	RAR gamma
T26	Protein	2499	2508	RXR alpha
T27	Protein	2532	2536	CD38
T28	Protein	2690	2694	CD38
T29	Protein	2739	2743	CD34
T30	Protein	2845	2849	CD38
T31	Protein	2905	2909	CD34
T32	Protein	2995	3004	RAR alpha
T33	Protein	3051	3060	RAR alpha
T34	Protein	3064	3068	CD38
T35	Protein	3435	3441	TSST-1
T36	Protein	3683	3689	TSST-1
T37	Protein	4045	4076	glucocorticoid receptor blocker
T38	Protein	4851	4869	interleukin (IL)-1
T39	Protein	5288	5292	IL-2
T40	Protein	5297	5313	interferon-gamma
T41	Protein	5389	5393	IL-1
T42	Protein	5395	5399	IL-6
T43	Protein	5401	5406	IL-15
T44	Protein	5408	5413	IL-18
T45	Protein	5418	5427	TNF-alpha
T46	Protein	5799	5804	IL-17
T47	Protein	5897	5901	IL-6
T48	Protein	5906	5910	IL-8
T49	Protein	6003	6012	TNF-alpha
T50	Protein	6023	6028	IL-17
T51	Protein	6138	6143	IL-17
T52	Protein	6211	6216	RANKL
T53	Protein	6365	6369	IL-6
T54	Protein	6564	6569	IL-17
T55	Protein	6741	6746	IL-15
T56	Protein	6833	6838	IL-17
T57	Protein	7000	7005	IL-23
T58	Protein	7039	7044	IL-17
T59	Protein	7066	7069	CD4
T60	Protein	7125	7130	IL-17
T61	Protein	7260	7265	IL-17
T62	Protein	7356	7361	IL-17
T63	Protein	7503	7521	phosphoinositide 3
T64	Protein	7536	7539	Akt
T65	Protein	7627	7632	IL-17
T66	Protein	7795	7800	IL-17
T67	Protein	7802	7807	IL-18
T68	Protein	7809	7814	IL-15
T69	Protein	7816	7850	monocyte chemoattractant protein-1
T70	Protein	7852	7857	MCP-1
T71	Protein	7860	7904	macrophage inflammatory protein (MIP)-1alpha
T72	Protein	7906	7915	MIP-1beta
T73	Protein	7917	7921	IL-6
T74	Protein	7926	7930	IL-8
T75	Protein	8001	8038	transforming growth factor (TGF)-beta
T76	Protein	8094	8103	TNF-alpha
T77	Protein	8108	8112	IL-1
T78	Protein	8252	8255	PHA
T79	Protein	8404	8407	CD3
T80	Protein	8437	8441	CD28
T81	Protein	8625	8631	Aiolos
T82	Protein	8698	8703	Bcl-2
T83	Protein	8799	8815	interleukin (IL)
T84	Protein	8893	8899	Aiolos
T85	Protein	9048	9052	IL-2
T86	Protein	9206	9212	Aiolos
T87	Protein	9234	9239	Bcl-2
T88	Protein	9319	9325	Aiolos
T89	Protein	9351	9356	Bcl-2
T90	Protein	9453	9458	Bcl-2
T91	Protein	9473	9479	Aiolos
T92	Protein	9522	9528	Aiolos
T93	Protein	9537	9542	Bcl-2
T94	Protein	9580	9584	IL-2
T95	Protein	9642	9647	Bcl-2
T96	Protein	9663	9669	Aiolos
T97	Protein	10379	10383	Sox6
T98	Protein	10541	10545	Sox6
T99	Protein	10659	10663	Sox6
T100	Protein	10770	10774	Sox6
T101	Protein	10776	10780	Sox9
T102	Protein	10895	10899	Sox6
T103	Protein	10981	10985	Sox6
T104	Protein	11140	11144	Sox6
T105	Protein	11164	11165	p
T106	Protein	11246	11251	p100H
T107	Protein	11368	11372	p100
T108	Protein	11470	11474	Sox6
T109	Protein	11625	11628	Sox
T110	Protein	11932	11936	HMG1
T111	Protein	11941	11945	HMG2
T112	Protein	12227	12238	beta-globin
T113	Protein	12266	12283	beta-globin genes
T114	Protein	12295	12301	betah1
T115	Protein	12303	12308	beta-
T116	Protein	12319	12323	beta
T117	Protein	12684	12695	beta-globin
T118	Protein	13172	13186	epsilon globin
T119	Protein	13424	13435	beta-globin
T120	Protein	13551	13565	epsilon globin
T121	Protein	13980	13986	GATA-1
T122	Protein	13988	13992	YY-1
T123	Protein	13994	14001	COUP-TF
T124	Protein	14446	14450	Sox6
T125	Protein	15001	15005	Sox6
T126	Protein	15048	15052	Sox6
T127	Protein	15160	15164	Sox6
T128	Protein	15185	15189	yolk
T129	Protein	15312	15316	Sox6
T130	Protein	15318	15326	epsilony
T131	Protein	15398	15402	Sox6
T132	Protein	15447	15452	IL-17
T133	Protein	15574	15577	PHA
T134	Protein	15663	15668	IL-17
T135	Protein	15765	15770	IL-17
T136	Protein	15897	15902	IL-17
T137	Protein	15928	15931	PHA
T138	Protein	16389	16394	IL-17
T139	Protein	16496	16501	IL-17
T140	Protein	16658	16661	CD3
T141	Protein	16670	16675	IL-17
T142	Protein	16959	16962	CD3
T143	Protein	16971	16976	IL-17
T144	Protein	17167	17172	IL-17
T145	Protein	17313	17318	IL-17
T146	Protein	17500	17505	IL-17
T147	Protein	17567	17572	IL-17
T148	Protein	17830	17833	Sp1
T149	Protein	17893	17905	alpha-globin
T150	Protein	17963	17975	alpha-globin
T151	Protein	18065	18068	Sp1
T152	Protein	18148	18160	alpha-globin
T153	Protein	18215	18227	alpha-globin
T154	Protein	18318	18332	alpha-globin G
